Timestamp,Voltage (V),Resistance (ohms)
2024-11-21 17:53:06,0,6.933634433999999e-06,0.01386724113351773
2024-11-21 17:54:07,0,6.9536463629999995e-06,0.013907264911470176
2024-11-21 17:55:22,0,6.9288544809999985e-06,0.013857681246637502
2024-11-21 17:56:37,0,6.9726018e-06,0.01394517570964858
2024-11-21 17:57:51,0,6.9374705e-06,0.013874913250173499
2024-11-21 17:59:06,0,6.953049463e-06,0.013906071113857771
2024-11-21 18:00:20,0,6.9407863369999996e-06,0.013881544910910176
2024-11-21 18:01:35,0,6.928884876999999e-06,0.01385774203851592
2024-11-21 18:02:49,0,6.9405617679999995e-06,0.013881095773808451
2024-11-21 18:04:04,0,6.945353128999999e-06,0.013890678476643045
2024-11-21 18:05:19,0,6.964325768e-06,0.013928623678752642
2024-11-21 18:06:34,0,6.961824364999999e-06,0.013923620882758232
2024-11-21 18:07:48,0,6.988919987000001e-06,0.013977812018375963
2024-11-21 18:09:03,0,6.946104603000001e-06,0.013892181421637157
2024-11-21 18:10:18,0,6.953229780999999e-06,0.0139064317491365
2024-11-21 18:11:32,0,6.958328182e-06,0.013916628530742938
2024-11-21 18:12:47,0,6.9511145020000005e-06,0.013902201199597602
2024-11-21 18:14:01,0,6.944871519e-06,0.013889715258569482
2024-11-21 18:15:16,0,6.953987174000001e-06,0.013907946532106938
2024-11-21 18:16:31,0,6.9532234e-06,0.013906418987162024
2024-11-21 18:17:45,0,6.933872662e-06,0.013867717588564822
2024-11-21 18:19:00,0,6.961342669000001e-06,0.013922657492685016
2024-11-21 18:20:14,0,6.967938049e-06,0.013935848226303546
2024-11-21 18:21:29,0,6.952774645e-06,0.013905521478957041
2024-11-21 18:22:44,0,6.9354939189999996e-06,0.013870960096079805
2024-11-21 18:23:58,0,6.942539236e-06,0.013885050701898594
2024-11-21 18:25:13,0,6.958523272999999e-06,0.013917018711962572
2024-11-21 18:26:28,0,6.959027887e-06,0.013918027937944123
2024-11-21 18:27:42,0,6.952749542e-06,0.013905471273057452
2024-11-21 18:28:57,0,6.96590166e-06,0.013931775456449087
2024-11-21 18:30:11,0,6.943077085e-06,0.013886126397747204
2024-11-21 18:31:26,0,6.955915759e-06,0.01391180369439261
2024-11-21 18:32:41,0,6.942272136e-06,0.013884516502966994
2024-11-21 18:33:55,0,6.953297790999999e-06,0.01390656776886446
2024-11-21 18:35:10,0,6.946926389e-06,0.01389382499035002
2024-11-21 18:36:25,0,6.9556796520000005e-06,0.013911331481337037
2024-11-21 18:37:39,0,6.962475786e-06,0.013924923722152555
2024-11-21 18:38:54,0,6.9583600779999995e-06,0.013916692322615352
2024-11-21 18:40:09,0,6.962772008e-06,0.013925516164967669
2024-11-21 18:41:24,0,6.955825489e-06,0.01391162315475369
2024-11-21 18:42:38,0,6.964121943999999e-06,0.013928216031567934
2024-11-21 18:43:53,0,6.968270226e-06,0.013936512578974842
2024-11-21 18:45:07,0,6.954147298e-06,0.013908266779466442
2024-11-21 18:46:22,0,6.946497521e-06,0.013892967256065487
2024-11-21 18:47:37,0,6.968143277e-06,0.013936258681482636
2024-11-21 18:48:51,0,6.965011763000001e-06,0.013929995666008669
2024-11-21 18:50:06,0,6.933074774999999e-06,0.013866121817756363
2024-11-21 18:51:21,0,6.947265055e-06,0.013894502320995358
2024-11-21 18:52:35,0,6.943654165999999e-06,0.013887280557438883
2024-11-21 18:53:50,0,6.962805072000001e-06,0.013925582292835416
2024-11-21 18:55:05,0,6.953896696000001e-06,0.013907765576468849
2024-11-21 18:56:20,0,6.954720431999999e-06,0.013909413045173907
2024-11-21 18:57:34,0,6.94268757e-06,0.013885347369305261
2024-11-21 18:58:49,0,6.961452673000001e-06,0.013922877500245
2024-11-21 19:00:04,0,6.961842358e-06,0.013923656868686261
2024-11-21 19:01:18,0,6.939652218e-06,0.013879276677446643
2024-11-21 19:02:33,0,6.950125604000001e-06,0.013900223407553185
2024-11-21 19:03:48,0,6.949324359e-06,0.013898620920758158
2024-11-21 19:05:03,0,6.939126597e-06,0.013878225437549125
2024-11-21 19:06:17,0,6.959172549999999e-06,0.013918317263365471
